Route_Short_Name,Route_Long_Name,Number_of_Bus-Only-Lanes,daily_trips,peak_trips,peak_headway_minutes,non_peak_headway_minutes,Traffic_Volume,Incidents,estimated_riders
38,Brentwood Station/Temple,0,561,122,8.017857143,9.569116527,365330,1228,17137.66667
68,68 St E,0,218,58,15.96503497,19.5,257550,1212,7577.666667
150,114 Av SE,0,126,40,19.6,20,476980,1169,4697.833333
555,Dashmesh Centre,1,11,4,60,60,58000,1119,1764.666667
440,Chateau Estates/Franklin Station,0,46,18,56.5,56.16666667,116550,701,2405.5
43,McKnight - Westwinds Station/Chinook Station,0,560,128,7.33592881,9.517337032,747780,2804,18276.83333
101,Inglewood,2,128,30,25.5,28.28043478,430000,1001,4319.666667
4,Huntington,0,191,44,11.2,12.13235294,500000,1776,6753.833333
80,Homestead,0,30,16,30,30.75,47950,161,1674.666667
75,Somerset - Mahogany,0,304,74,12.54901961,15.4215317,419420,795,10241.83333
149,Point Trotter Industrial,0,234,70,13.6,15.25854701,330780,874,7953.5
79,Cranston / Mahogany,0,138,40,24.625,26.48484848,56040,154,5433.833333
147,Starfield Industrial,0,98,32,32,32,166980,641,4052.666667
167,Legacy,0,190,48,9.545454545,12.70149254,238620,383,6093.666667
300,BRT Airport/City Centre,2,354,66,13.74285714,14.25694444,729790,1880,9916.166667
302,BRT Southeast/City Centre,2,422,94,10.28571429,11.95756579,551670,1919,12564.83333
307,MAX Purple City Centre/East Hills,2,430,98,9.468379447,11.13703704,385100,1825,12578.83333
78,Sundance/Chaparral,0,328,80,11.92973856,15.83437407,281920,463,10643.83333
67,Memorial Dr E,1,296,64,14.89285714,15.18096055,40000,581,8489.833333
136,Corner Meadows / Cornerbrook,0,160,34,18.5,19.97674419,133000,595,5079.333333
106,Southland/Deerfoot Meadows,0,76,24,34.8,42.36363636,215560,675,2819.5
20,Heritage Station/Northmount Dr N,0,428,112,8.208333333,12.2527482,1099000,2715,14828.16667
24,Ogden,0,294,64,14.5,16.34617985,529980,984,9862
17,Renfrew/Ramsay,0,212,54,17.16666667,20.59107143,474000,1126,7547.333333
3,Sandstone/Elbow Dr SW,2,600,158,6.214285714,9.098646724,810000,2005,19694.66667
64,MacEwan Express,2,22,14,19.5,21,442000,1595,2021.5
109,Harvest Hills Express,2,10,6,47.5,30,515000,1637,1411.333333
88,Harvest Hills,0,148,38,20,29.64285714,101000,201,4809.833333
42,Marlborough,1,198,48,9.681818182,13.73239437,40000,727,6391.333333
71,Taradale,0,422,98,9.657114625,12.05263158,0,402,12362
61,Martindale,0,144,26,16.54545455,17.27272727,0,231,4530.166667
59,Savanna,0,170,34,12.73333333,13.85714286,0,183,4932
85,Martin Crossing,0,340,72,14.08894231,13.63482863,0,273,9754.333333
159,Saddlebrook,0,283,78,6.222222222,10.20618557,0,259,8610.666667
153,Copperfield,0,298,93,9.017857143,14.140625,385140,711,10101.66667
14,Bridlewood/Cranston,0,468,132,7.115,11.77130326,331500,706,15090.66667
152,New Brighton,0,76,24,20,19.7826087,0,86,2724.833333
23,52 St E,4,617,138,7.053274682,8.942969755,252620,2619,19123.83333
142,Panorama Express,2,12,6,30,25,543000,1797,1618.833333
28,Deer Run,0,139,32,14.28571429,16.03921569,0,188,4728.333333
145,West Skyview Ranch / Redstone,0,296,72,7.0625,9.435185185,67000,525,9281
41,Lynnwood,0,75,22,16.5,16.37931034,630760,1719,3239
114,Panorama/Country Hills,0,130,30,14.76923077,18.04255319,46000,296,4695.333333
44,Deer Ridge,0,129,36,17.1,19.63324176,0,202,4765.666667
99,Acadia/Oakridge,0,288,64,14,15.47542088,53000,624,9559.833333
11,Southwest Loop,0,126,34,11.14285714,11.82539683,171000,491,4780.333333
12,Southwest Loop,0,151,35,12.61111111,15.05454545,165000,507,5278.833333
301,BRT North/City Centre,2,744,216,4.510204082,7.583914053,492000,1585,22190.5
60,Taradale,0,144,26,16.63636364,16.87272727,0,229,4504.5
148,Great Plains Industrial,0,316,88,10.625,17.9747807,648980,2112,9954
128,East Skyview Ranch / Redstone,0,296,74,6.371428571,9.009259259,67000,540,9274.333333
21,Castleridge,0,194,36,11.25,12.72,0,353,5785.166667
55,Falconridge,0,194,44,12.70588235,12.97183099,0,352,6025.833333
58,Erin Woods/44 St SE,0,396,94,9.909090909,12.57182585,22000,525,12060.5
87,Applewood/17 Av SE,0,310,64,13.5,15.59322034,49000,893,9335
135,Erin Woods/36 St SE,0,86,40,23.25,23.0625,49000,689,3879.833333
89,Lions Park - North Pointe,0,40,24,37.8,34,184000,1258,2692.5
100,Airport,0,324,64,16.05,17.87832423,205040,857,9432.166667
102,Millrise/Silverado,0,338,78,11.23202614,14.33933002,43300,260,10141.5
116,Coventry Hills Express,2,16,8,23.33333333,20.33333333,483000,1807,2022.5
32,Huntington/Sunridge,0,346,94,10.55952381,14.15283973,421720,1116,11771.5
34,Pineridge,2,154,36,12.8125,15.36363636,0,420,5111.833333
92,McKenzie Towne,1,221,52,15.73076923,21.31175735,551740,1309,7820
35,Bonavista/Canyon Meadows,0,156,44,19.625,30.77037037,245000,313,5709
29,Queensland,0,110,24,17.8,20.175,90000,158,4172.333333
48,Rundle,1,174,34,13.06666667,13.82089552,0,426,5385.833333
49,Forest Heights,1,197,47,8,10.29032258,18000,705,6258.5
117,McKenzie Towne Express,3,12,6,35,23,1357370,5009,1882.666667
56,Woodbine,0,240,52,17.29166667,20.2696567,359000,734,8358.833333
155,West Dover/Forest Lawn,0,282,68,13.87053571,17.96458583,0,576,9285
8,North Pointe Terminal/Foothills Medical Centre,0,456,126,7.93226601,12.359108,319000,653,14831.83333
127,Maryvale/Franklin Industrial,0,250,58,15.29487179,17.78888889,18000,455,8144.666667
118,Hidden Valley,0,135,31,12.26666667,16.30612245,0,146,4397.333333
119,Freeport,0,84,20,55.5,53.77777778,34000,832,3171
96,McKenzie,0,229,56,16.18910256,18.01317073,438980,959,8132.166667
57,Monterey Park/ McCall Wy NE,0,332,70,12.95208333,15.0734127,62000,405,10248.33333
33,Vista Heights/Rundle,0,215,52,15.88461538,16.62166761,60000,782,7406.833333
27,Willowglen,0,82,24,20,22.84615385,0,63,2849.333333
157,West Stoney Industrial,0,376,76,12.56092437,13.72675121,151270,852,11015.5
86,Coventry Hills,0,274,68,13.2,18.98595745,0,165,8725
30,Highfield Industrial,0,108,31,13.42857143,16.4,151000,691,3978.5
194,Chaparral Valley/Wolf Willow,0,114,36,25.77083333,32.91111111,238620,488,4064.166667
83,Parkland,0,136,31,14.42857143,14.76923077,0,117,4407.833333
36,Riverbend,0,112,28,16.08333333,19.725,630760,1717,4211.166667
46,Beddington,0,170,48,10.57142857,15.12068966,0,243,5797
10,City Hall/Southcentre,0,252,50,19.3,15.81854481,547000,1621,8527.833333
449,Eau Claire/Parkhill,0,102,40,23.1875,30.30769231,348000,971,4248.666667
2,Mount Pleasant/Killarney 17 Av SW,0,392,90,10.4452381,12.47740275,767000,2104,13660
5,North Haven,0,191,42,11.21052632,12.44776119,563000,1997,6715.666667
81,Macleod Tr S,0,138,36,20.95238095,19.79371921,140000,1258,5126.833333
421,Panatella,0,169,48,10.78947368,18.47826087,0,130,5588.833333
7,Marda Loop,0,314,66,10.97697368,12.12743252,521000,1500,9893.833333
82,Nolan Hill,0,308,80,11.77467105,15.51272727,391600,746,10033.5
54,Edgevalley,0,124,28,15.75,18.2,0,210,4352.333333
95,Palliser,0,30,16,32,32,53000,210,1898
154,Hamptons,0,120,28,17.75,19.74418605,0,214,4256.666667
19,16 Avenue North,0,310,64,14.97527473,15.68154762,749510,1722,11131.33333
422,Dalhousie/Montgomery,0,166,48,24,29.18552036,80000,185,6058.166667
138,Citadel,0,270,58,15.32051282,17.08523409,122660,325,8856.5
76,Hawkwood,0,280,60,15.21428571,17.01257862,0,148,8941.5
94,Strathcona/Signal Hill,0,212,58,15.99025974,22.78338633,0,122,6908.666667
125,Cedarbrae,0,64,16,30,30.33333333,53000,241,2500.333333
111,Old Banff Coach Road,0,216,56,16.55594406,20.56756757,102000,520,6981
113,North Ranchlands/Scenic Acres,0,138,32,32,31.72735507,52000,136,5184.833333
164,Aspen Summit,0,272,62,15.19230769,17.06142857,59000,300,8456.833333
120,Silver Springs,0,220,54,15.46590909,22.02530364,197000,216,6953.833333
134,Rockland Park,0,94,20,50,50,201410,241,3294.666667
299,Arbour Lake,0,148,32,15,15.25454545,52000,41,4868.333333
40,Crowfoot Station/North Hill,0,196,54,22.97727273,27.95625,475000,1125,7476.333333
97,South Ranchlands/Scenic Acres,0,258,56,16.08333333,16.87123227,52000,122,7989
53,Brentwood Station/Greenwood,0,262,56,15.91666667,18.51689612,136000,371,8504
51,West Springs/Discovery Ridge,0,256,74,13.375,18.90836102,54040,264,8791
126,Braeside,0,146,32,10,10.2804878,53000,241,4668
13,Altadore,0,268,60,13.1092437,14.18324231,577000,1504,9454.166667
37,Heritage Station/Canyon Meadows,0,436,102,9.46780303,10.9808642,81000,196,12875.5
131,East Bow Express,1,16,8,20,20,851000,1750,2484.166667
151,New Brighton Express,3,8,4,55,50,1892390,5008,1885
124,Evanston,0,424,120,8.166666667,12.64193303,62210,243,13144.66667
115,Symons Valley Parkway,0,288,70,14.15546218,16.571513,90210,619,9800.666667
414,14 St W,0,116,38,23.64285714,44.05,415000,809,4809.833333
22,Richmond Rd SW,0,262,58,10.37426901,12.169695,665000,1604,8435.166667
52,Evergreen/Somerset-Bridlewood Station,0,171,38,15.03846154,15.78067633,134000,473,6375
6,Killarney/26 Av SW,0,337,76,12.05882353,13.99758065,605000,1602,10640.33333
404,North Hill,0,102,32,22.83333333,31.47321429,40000,346,4143.5
62,Hidden Valley Express,2,12,6,35,27,479000,1647,1461
304,MAX Yellow Woodpark/City Centre,0,514,144,6.588235294,9.649726402,994000,2842,15427.66667
104,Sunnyside/University of Calgary,0,266,62,15.83516484,17.86458333,178000,522,8396.333333
91,Foothills Medical Centre,0,408,92,9.734090909,10.49833275,256000,467,11341.33333
66,Lakeview,0,318,74,13.07169118,15.84785714,650000,1301,10051
90,Bridgeland/University of Calgary,1,268,62,15.46428571,15.6620776,975000,2130,8982
303,MAX Orange Brentwood/Saddletowne,0,622,154,6.287351443,8.067940467,908510,3497,18125.66667
77,Edgemont,0,124,28,19.18181818,21.86486486,0,160,4351
306,MAX Teal Westbrook/Douglas Glen,0,408,96,14.65909091,13.78501229,637780,2347,11861.83333
129,Dalhousie Station/Sage Hill,0,261,64,15.34615385,17.6541502,58380,420,8368.333333
93,Coach Hill/Westbrook Station,0,268,56,15.83333333,17.80346939,59000,561,9303.333333
123,Sage Hill/North Pointe Terminal,0,308,90,10.46666667,18.23506289,206600,399,10491.16667
105,Dalhousie Station/Lions Park Station,0,232,58,15.33974359,17.6547619,114000,510,7714.666667
9,Dalhousie Station/Chinook Station,0,382,92,10.1395881,14.2004329,938000,2566,13016.5
65,Market Mall/Downtown West,0,252,62,14.23076923,18.42474747,347000,729,8794.166667
98,Cougar Ridge,0,266,59,11.07894737,12.21760443,0,233,8019.666667
1,Bowness/Forest Lawn,2,482,94,10.07261905,10.27776479,740550,2705,15412.5
156,Aspen Woods,0,254,58,11.03216374,12.22523745,0,120,7485.833333
26,Sarcee Trail Crosstown,0,224,58,15.67532468,17.98571429,332020,652,7574.333333
74,Tuscany,0,146,32,15,15.55555556,42000,22,4728
158,Royal Oak,0,131,26,17,17.42,42000,109,4051.666667
201,Red Line,0,2806,558,2.40819209,2.760147374,921140,2129,74068.83333
174,Tuscany,0,60,16,29.66666667,29.63157895,0,22,2506.333333
169,Rocky Ridge,0,130,26,15.63636364,17.45833333,0,51,4028.5
108,Paskapoo Slopes,0,234,56,17.54166667,18.95639535,231000,364,7751.333333
70,Valley Ridge Express,0,8,4,40,48,893000,1865,1396.166667
